Abstrak,Topik 1,Topik 2,Topik 3,Topik 4,Total Proporsi Topik
sistem informasi akademik siakad sistem informasi berfungsi menangani pengelolaan penyajian datadata akademik fakulta siakad dianggap pelayanan mahasiswa membutuhkan informasi akademik universita trunojoyo tersedia siakad databas terpusat sistem kelebihan perawatannya mudah membutuhkan biaya sistem berpotensi mengahadapi kendalakendala prose transaksi data padatnya jaringan databas siakad kelambatan pemrosesan respon queri data tersimpan pemrosesan komplek memiliki kelemahan ketersediaan data sistem pengembangan sistem databas sistem databas terdistribusi masingmas fakulta dijadikan solusi permasalahan basisdata terdistribusi keuntungan dimiliki basisdata terpusat pengawasan distribusi reabil avail kecepatan pemrosesan queri otonomi local,0.0012137629476139172,0.9963585536577808,0.0012138145548405473,0.0012138688397647218,1.0
berjalannya koneksi jaringan komput lancar gangguan harapan penggunanya bertanggung bidang administr jaringan koneksi jaringan berjalan lancar gangguan kenyataan lapangan jaringan komput skala berpotensi gangguan kerusakan koneksi jaringan komput disebabkan banyaknya penggunaan padatnya traffic data jaringan komput menjaga meningkatkan kualita layanan koneksi jaringan aks kontrol monitor level administr jaringan realtim berbasi mobil mengatur informasi koneksi jaringan diaks administr jaringan dituntut gangguan terputusnya koneksi jaringan administr kontrol monitor sistem kontrol monitor berbasi mobil diharapkan membantu tuga administr mengontrol memantau jaringan mengambil kebijakan node â node terkoneksi jaringan memanajemen koneksi port bandwidth mobil pembenahan gangguan jaringan pemakai jaringan klien pengaduan gangguan kunci administr jaringan koneksi jaringan aks kontrol monitor,0.0812676969914978,0.9168344290569995,0.0009489494874476902,0.0009489244640549134,1.0
web server perangkat lunak server berfungsi menerima permintaan http http web client mengirimkan bentuk halamanhalaman web berbentuk dokumen html dokumen html dikirim dokumen dibentuk bahasa markup plaintext dokumen berisi kodekod html murni prose enkripsi tujuan penelitan aplikasi proxi server menerima permintaan http web client meneruskannya web server aplikasi menerima respon server prose enkripsi dokumen html dokumen html dikirim web client berbentuk dokumen html terenkripsi web client aplikasi internet explor mozilla firefox opera aplikasiaplikasi diken sebutan web browser web browser menerima dokumen html terenkripsi aplikasi proxi server javascript engin web browser prose dekripsi render dokumen ditampilkan sesuai aslinya kode dokumen html menu view sourc web browser didapatkan dokumen html terenkripsi,0.0009143394904566552,0.997257210202955,0.0009142266640048009,0.0009142236425835608,0.9999999999999999
penjadwalan kuliah perguruan komplek permasalahan variabel dipertimbangkan jadwal optim penyusunan jadwal kuliah selayaknya dicoba menemukan penjadwalan terbaik dibutuhkan metod optimasi diterapkan penjadwalan mata kuliah metod menyelesaikan permasalahan algoritma genetika tuga bertujuan sistem jadwal matakuliah otomati hasilnya optim hasil penelitian algoritma genetika jadwal optim dibuktikan nilai fit memiliki nilai otomati jadwal dibentuk optim semoga aplikasi diharapkan mempermudah didalam pembuatan penjadwalan matakuliah mudah cepat kunci algoritma genetika optimasi penjadwalan,0.0014839520466657936,0.6877991746271889,0.001484079696349065,0.3092327936297962,1.0
seir perkembangan teknolog didunia muncul teknolog augment realiti augment realiti ar upaya menggabungkan dunia maya dunia virtual komput bata tipi headmount display hmd contoh hasil penelitian augment realiti satusatunya peralatan dasar teknologiteknolog terbaru seir berjalannya augment realiti berkembang pesat pengembangan aplikasi bidang mengembangkan ar librari pendukung flartoolkit salah satunya flartoolkit librari pendukung augment realiti platform flash berdasarkan sistem ar animasi benda bergerak animasi bergerak permainan pingpong dimana dikolaborasikan augment realiti menggerakkan langkah playernya interaksi obyek gerak bola dipukul obyek virtual ditampilkan augment realiti,0.0011993450103660935,0.001199288797007744,0.9964021844445254,0.0011991817481005486,0.9999999999999998
gerak pekerja game memiliki genr rt realtim strategi gerak pekerja memiliki gerak dibutuhkan pendekatan konsep ai mendesain perilaku pekerja perilaku karakt ditambahi ai artif inteleg perilakunya hidup realisti penelitian ai finit state machin finit state machin menentukan gerak pekerja parameterparamet dasar gerak disimulasikan game rt game engin hasil peroleh penelitian penerapan metod finit state machin menentukan gerak pekerja berdasarkan paramet harta prajurit kondisi bangunan stockpil resourc bawa kunci game realtim strategi gerak pekerja finit state machin,0.0013092320924435053,0.0013090722226437642,0.9960726136911152,0.0013090819937975515,1.0
perkembangan game pesat altern peminatnya bentuk game cerita media penyajian keberadaan game menggambarkan budaya indonesia daerah kepulauan madura terhitung dirasa lunturnya kebudayaan indonesia anak bangsa peminat game sarana pengenalan budaya asli madura aplikasi game olahraga digemari pulau madura kerapan sapi dibangun aplikasi game kerapan sapi upaya pelestarian budaya bangsa pulau madura upaya pembuatan game budaya dibangun game perawatan sapi karapan metod logika fuzzi fuzzi logic menginputkan paramet kekuatan kesehatan sapi karapan menentukan harga jual sapi karapan game perawatan sapi karapan kunci game kerapan sapi perawatan sapi kerapan budaya madura,0.5669834854314405,0.022111384714602438,0.0011187994075297003,0.40978633044642737,1.0
sistem pengenalan wajah sistem mengenali identita wajah manusia teknolog mengidentifikasi tubuh manusia unik wajah manusia khusu bidang identifikasi pengenalan wajah manusia memanfaatkan pengolahan analisi citra wajah berperan prose pengenalan wajah manusia sistem manfaatkan sistem keamanan bidang biometrika penelitian bangun perangkat lunak pengenalan citra wajah manusia metod two dimension linear discrimin analysi dlda menentukan karakteristik wajah manusia tahap pengklasifikasian metod angular separ mengukur kemiripan data pelatihan train data uji coba test prose test gambar wajah ketahui identita uji coba aplikasi klasifikasi angular separ peroleh akurasi pengenalan pose citra wajah pelatihan pose citra wajah uji coba test data ratu citra wajah manusia ambil databas orl sepuluh eigen kunci sistem pengenalan wajah two dimension linear discrimin analysi angular separ,0.12663252400854513,0.000859261993999167,0.0008592588366624472,0.8716489551607933,1.0
teknolog mobil game beroper system open sourc berkembang pesat keragaman variasinya mobil game memiliki peminat kalangan dasar pengembang mengembangkan mobil game penelitian mobil game mengasah kemampuan berfikir dikembangkan mengimplementasikan algoritma prim depth first search pembuatannya algoritma prim diterapkan pembuatan lintasan maze algoritma depth first search diterapkan prose pencarian solusinya hasil pengujian disimpulkan algoritma prim depth first search berfungsi resolusi screen x pixel pembentukan lintasan pencarian solusi maze kunci mobil game android algoritma prim algoritma depth first search,0.996072765051764,0.0013090806328295655,0.0013091244415502433,0.0013090298738561103,0.9999999999999999
kantor badan kepegawaian kota bangkalan instansi pemerintahan bergerak bidang pelayanan kepegawaian meningkatkan kualita pelayanan sistem informasi memonitor membantu prose kinerja dina penelitian dibaha menerapkan architectur enterpris bkd bangkalan menggunakkan metod togaf adm mengimplementa sikannya kedalam implementasi aplikasi enterpris dibentuk keterpaduan egovern bangkalan togaf adm memiliki komponen utama arsitektur bisni arsitektur data arsitektur teknolog arsitektur aplikasi intinya togaf architectur enterpris aspek penelitian dibaha perancangan sistem arsitektur sistem informasi bkd bangkalan subsistem egovern bangkalan togaf adm tujuannya menghasilkan sistem aplikasi administrasi kantor badan kepegawaian daerah bangkalan blue print memperbaiki efisiensi kenyamanan aksesibilita pelayanan publik kunci arsitektur interpris togaf adm arsitektur bisni arsitektur data arsitektur aplikasi arsitektur teknolog,0.0009488943719296058,0.0009490530090624728,0.9971531457914523,0.0009489068275555371,0.9999999999999999
